country,model,n_forecasts,rmse,mae
Australia,hhh4_full,28,90.47654589002461,54.81954851351307
Australia,hhh4_within,28,90.47654562305016,54.81954813591183
Brazil,hhh4_full,28,163317.92778393324,153859.91601880753
Brazil,hhh4_within,28,163317.92757950327,153859.91577858612
Canada,hhh4_full,28,15544.22934764501,11997.191286253617
Canada,hhh4_within,28,15544.229344590776,11997.191280100671
China,hhh4_full,28,839.2265742947661,512.5133578050377
China,hhh4_within,28,839.2265742079014,512.5133574428047
South Africa,hhh4_full,28,30321.376413615104,17788.20720653209
South Africa,hhh4_within,28,30321.376322270484,17788.207150499544
United Kingdom,hhh4_full,28,79263.24220367197,47523.518625988974
United Kingdom,hhh4_within,28,79263.24199063281,47523.518521778555
United States,hhh4_full,28,341076.66762410116,231038.4506204977
United States,hhh4_within,28,341076.6675074684,231038.4504420154
